Designator,Mid X,Mid Y,Rotation,Layer
C1,138.0345,-76.687,0.0,top
C2,138.0,-80.6,0.0,top
C3,152.297,-84.053,90.0,top
DC1,125.5,-80.645,0.0,top
DC2,174.5,-77.155,180.0,top
R1,156.387,-70.125,180.0,top
R2,156.387,-72.623,0.0,top
R3,147.471,-68.559,270.0,top
R4,150.011,-68.533,90.0,top
R5,156.387,-76.687,0.0,top
R6,156.387,-79.735,180.0,top
U1,148.05,-77.9,0.0,top
U2,140.47,-96.79,180.0,top
U3,181.8,-67.93,270.0,top
