Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100u,
C2,1206,1,0.01u,
C3,1206,1,0.47u,
"C4, C5, C6, C7",1206,4,0.1u,
"J1, J2",PinSocket_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
U1,WQFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,DRV8428RTER,C2857955
"U4, U5",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,2,SN74LVC1G125DBVR,C23654
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,MCP4725A0T-E/CH,C144198
